id,ylang,tlang,level,wclass,word,subject,tense,type,ylang_ex,tlang_ex,tlang_exf,furigana,chikugoyaku
1,English,Japanese,beginner,verb,いる,total 13,present positive,null,I am here now.,私は今ここにいる,私は | 今 | ここに | いる,watashi wa |  ima | koko ni | i ru,I | now | here | there is
2,English,Japanese,beginner,verb,いる,null,present positive,nill,He is here now too.,彼も今ここにいます,彼も | 今 | ここに | います,kare mo | ima | koko ni | i masu,he too | now | here | there is(p)
3,English,Japanese,beginner,verb,いる,null,present positive,null,Where are you now?,あなたは今どこにいますか？,あなたは | 今 | どこに | います | か？,anata wa | ima | doko ni | i masu | ka?,you | now | where | there is(p) | ?
4,,,,,いる,,,,,私は明日東京にいる,,,1
5,,,,,いる,,,,,彼も明日東京にいます,,,1
6,,,,,いる,,,,,あなたは明日どこにいますか？,,,1
7,,,,,いる,,present negative,,,私は今家にいない,,,1
8,,,,,いる,,,,,彼女も今家にいません,,,1
9,,,,,いる,,past positive,,,私は昨日家にいた,,,1
10,,,,,いる,,,,,彼女も昨日家にいました,,,1
11,,,,,いる,,,,,あなたは昨日どこにいましたか？,,,1
12,,,,,いる,,past negative,,,私は昨日家にいなかった,,,1
13,,,,,いる,,,,,彼も昨日家にいませんでした,,,1
14,,,,,見る,total 19,present positive,,,私はよく映画を見る,,,1
15,,,,,,,,,,彼もよく映画を見ます,,,1
16,,,,,,,,,,あなたはよく映画を見ますか？,,,1
17,,,,,,,,,,あなたは普段どこで映画を見ますか？,,,1
18,,,,,,,,,,あなたは普段いつ映画を見ますか？,,,1
19,,,,,,,,,,あなたは普段どんな映画を見ますか？,,,1
20,,,,,,,,,,私はあとでテレビを見る,,,1
21,,,,,,,,,,彼もあとでテレビを見ます,,,1
22,,,,,,,,,,あなたはあとでテレビを見ますか？,,,1
23,,,,,,,present negative,,,私はテレビをあまり見ない,,,1
24,,,,,,,,,,彼女もテレビをあまり見ません,,,1
25,,,,,,,,,,私は明日映画を見ない,,,1
26,,,,,,,,,,彼女も明日映画を見ません,,,1
27,,,,,,,past positive,,,私は昨日映画を見た,,,1
28,,,,,,,,,,彼も昨日映画を見ました,,,1
29,,,,,,,,,,あなたは昨日どこで映画を見ましたか？,,,1
30,,,,,,,,,,彼女は昨日どんな映画を見ましたか？,,,1
31,,,,,,,past negative,,,私は昨日テレビを見なかった,,,1
32,,,,,,,,,,彼女も昨日テレビを見ませんでした,,,1
33,,,,,聞く,total 17,present positive,,,私は毎晩音楽を聞く,,,1
34,,,,,,,,,,私の友達も毎晩音楽を聞きます,,,1
35,,,,,,,,,,あなたは毎晩音楽を聞きますか？,,,1
36,,,,,,,,,,あなたは普段どこで音楽を聞きますか？,,,1
37,,,,,,,,,,あなたは普段どんな音楽を聞きますか？,,,1
38,,,,,,,,,,あなたは普段いつ音楽を聞きますか？,,,1
39,,,,,,,,,,私はあとで音楽を聞く,,,1
40,,,,,,,,,,彼もあとで音楽を聞きます,,,1
,,,,,,,,,,あなたはあとで音楽を聞きますか？,,,1
,,,,,,,present negative,,,私はラジオをあまり聞かない,,,1
,,,,,,,,,,友達もラジオをあまり聞きません,,,1
,,,,,,,past positive,,,私は昨日の夜音楽を聞いた,,,1
,,,,,,,,,,友達も昨日の夜音楽を聞きました,,,1
,,,,,,,,,,あなたは昨日の夜どこで音楽を聞きましたか？,,,1
,,,,,,,,,,あなたは昨日の夜どんな音楽を聞きましたか？,,,1
,,,,,,,past negative,,,私は昨日ラジオを聞かなかった,,,1
,,,,,,,,,,友達も昨日ラジオを聞きませんでした,,,1
,,,,,食べる,total 19,present positive,,,私はたまに朝食を食べる,,,1
,,,,,,,,,,彼もたまに朝食を食べます,,,1
,,,,,,,,,,あなたは普段朝食を食べますか？,,,1
,,,,,,,,,,あなたは普段どこで朝食を食べますか？,,,1
,,,,,,,,,,あなたは普段いつ朝食を食べますか？,,,1
,,,,,,,,,,あなたは普段どんな朝食を食べますか？,,,1
,,,,,,,,,,私はあとで朝食を食べる,,,1
,,,,,,,,,,彼もあとで朝食を食べます,,,1
,,,,,,,,,,あなたはあとで朝食を食べますか？,,,1
,,,,,,,present negative,,,私は普段あまり夕食を食べない,,,1
,,,,,,,,,,彼女も普段あまり夕食を食べません,,,1
,,,,,,,past positive,,,私は今日昼食をたくさん食べた,,,1
,,,,,,,,,,彼も今日昼食をたくさん食べました,,,1
,,,,,,,,,,あなたは今日昼食をたくさん食べましたか？,,,1
,,,,,,,,,,あなたは今日どこで昼食を食べましたか？,,,1
,,,,,,,,,,あなたは今日いつ昼食を食べましたか？,,,1
,,,,,,,,,,あなたは今日どんな昼食を食べましたか？,,,1
,,,,,,,past negative,,,私は今日あまり昼食を食べなかった,,,1
,,,,,,,,,,彼女も今日あまり昼食を食べませんでした,,,1
,,,,,飲む,total 17,present positive,,,私はたまにお酒を飲む,,,1
,,,,,,,,,,友達もたまにお酒を飲みます,,,1
,,,,,,,,,,あなたは普段お酒を飲みますか？,,,1
,,,,,,,,,,あなたは普段いつお酒を飲みますか？,,,1
,,,,,,,,,,あなたは普段どこでお酒を飲みますか？,,,1
,,,,,,,,,,あなたは普段どんなお酒を飲みますか？,,,1
,,,,,,,,,,私はあとでビールを飲む,,,1
,,,,,,,,,,彼女もあとでビールを飲みます,,,1
,,,,,,,,,,あなたはあとでビールを飲みますか？,,,1
,,,,,,,present negative,,,私は普段あまりお酒を飲まない,,,1
,,,,,,,,,,友達も普段あまりお酒を飲みません,,,1
,,,,,,,past positive,,,私は昨日の夜お酒を少し飲んだ,,,1
,,,,,,,,,,彼女も昨日の夜お酒を少し飲みました,,,1
,,,,,,,,,,あなたは昨日の夜どこでお酒を飲みましたか？,,,1
,,,,,,,,,,あなたは昨日の夜どんなお酒を飲みましたか？,,,1
,,,,,,,past negative,,,私は昨日ビールを少しも飲まなかった,,,1
,,,,,,,,,,彼女も昨日ビールを少しも飲みませんでした,,,1
,,,,,寝る,total 15,present positive,,,私は毎晩10時に寝る,,,1
,,,,,,,,,,母も毎晩10時に寝ます,,,1
,,,,,,,,,,あなたは毎晩何時に寝ますか？,,,1
,,,,,,,,,,私はもうすぐ寝る,,,1
,,,,,,,,,,母ももうすぐ寝ます,,,1
,,,,,,,present negative,,,私は普段あまりベッドで寝ない,,,1
,,,,,,,,,,父も普段あまりベッドで寝ません,,,1
,,,,,,,,,,私はまだ寝ない,,,1
,,,,,,,,,,彼女もまだ寝ません,,,1
,,,,,,,past positive,,,私は昨日たくさん寝た,,,1
,,,,,,,,,,母も昨日たくさん寝ました,,,1
,,,,,,,,,,君は昨日何時に寝ましたか？,,,1
,,,,,,,,,,君は昨日どれくらい寝ましたか？,,,1
,,,,,,,past negative,,,私は昨日あまり寝なかった,,,1
,,,,,,,,,,父も昨日あまり寝ませんでした,,,1
,,,,,起きる,toal 12,present positive,,,私は毎朝早く起きる,,,1
,,,,,,,,,,兄も毎朝早く起きます,,,1
,,,,,,,,,,君は毎朝何時に起きますか？,,,1
,,,,,,,,,,私はもうすぐ起きる,,,1
,,,,,,,,,,兄ももうすぐ起きます,,,1
,,,,,,,present negative,,,私は普段昼まで起きない,,,1
,,,,,,,,,,兄も普段昼まで起きません,,,1
,,,,,,,past positive,,,私は昨日朝早く起きた,,,1
,,,,,,,,,,兄も昨日朝早く起きました,,,1
,,,,,,,,,,君は昨日朝何時に起きましたか？,,,1
,,,,,,,past negative,,,私は昨日昼まで起きなかった,,,1
,,,,,,,,,,兄も昨日昼まで起きませんでした,,,1
,,,,,行く,total 15,present positive,,,私は毎日バスで学校に行く,,,1
,,,,,,,,,,弟も毎日バスで学校に行きます,,,1
,,,,,,,,,,あなたは毎日どうやって学校に行きますか？,,,1
,,,,,,,,,,あなたは毎日何時に学校に行きますか？,,,1
,,,,,,,,,,私は明日学校に行く,,,1
,,,,,,,,,,弟も明日学校に行きます,,,1
,,,,,,,,,,君は明日学校に行きますか？,,,1
,,,,,,,present negative,,,私はあまりジムに行かない,,,1
,,,,,,,,,,弟もあまりジムに行きません,,,1
,,,,,,,past positive,,,私は昨日病院に行った,,,1
,,,,,,,,,,弟も昨日病院に行きました,,,1
,,,,,,,,,,あなたは昨日病院に行きましたか？,,,1
,,,,,,,,,,あなたは昨日どの病院に行きましたか？,,,1
,,,,,,,past negative,,,私は昨日仕事に行かなかった,,,1
,,,,,,,,,,弟も昨日仕事に行きませんでした,,,1
,,,,,来る,total 12,present positive,,,彼は毎週月曜日私の家に来る,,,1
,,,,,,,,,,彼の妹も毎週月曜日私の家に来ます,,,1
,,,,,,,,,,彼女は普段何時に学校に来ますか？,,,1
,,,,,,,,,,彼女は普段どうやって学校に来ますか？,,,1
,,,,,,,,,,彼は明日学校に来る,,,1
,,,,,,,,,,彼の妹も明日学校に来ます,,,1
,,,,,,,present negative,,,生徒たちは週末学校に来ない,,,1
,,,,,,,,,,先生も週末学校に来ません,,,1
,,,,,,,past positive,,,彼女は少し前学校に来た,,,1
